contig	cluster	completeness	purity	taxid	superkingdom	phylum	class	order	family	genus	species	x	y
NODE_235_length_161117_cov_116.709	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.2450259	-7.3944535
NODE_256_length_152979_cov_113.619	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.3221990000000003	-7.461405
NODE_268_length_147092_cov_114.454	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.288426	-7.4325814
NODE_342_length_121763_cov_115.559	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.363636	-7.500439599999999
NODE_351_length_118373_cov_114.209	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-1.8988535	-7.109984
NODE_354_length_117704_cov_114.365	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.4006286	-7.537217999999999
NODE_381_length_109394_cov_114.081	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-1.806338	-7.043868499999999
NODE_386_length_107407_cov_114.498	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.4643652	-7.5985746
NODE_433_length_98152_cov_115.585	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.13256	-7.2899966
NODE_448_length_94901_cov_112.53	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.0692434	-7.2398977
